,sentence,text_no_eraab
0,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
1,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
2,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
3,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
4,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
5,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
6,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
7,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
8,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
9,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
10,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
11,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
12,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
13,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
14,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
15,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
16,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
17,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
18,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
19,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
20,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
21,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
22,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
23,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
24,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
25,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
26,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
27,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
28,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
29,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
30,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
31,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
32,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
33,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
34,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
35,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
36,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
37,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
38,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
39,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
40,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
41,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
42,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
43,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
44,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
45,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
46,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
47,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
48,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
49,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
50,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
51,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
52,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
53,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
54,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
55,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
56,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
57,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
58,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
59,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
60,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
61,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
62,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
63,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
64,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
65,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
66,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
67,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
68,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
69,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
70,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
71,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
72,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
73,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
74,او از طرفداران محصولات اَپِل است.,او از طرفداران محصولات اپل است.
75,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
76,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
77,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
78,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
79,شرکت اَپِل نوآوری‌های زیادی ارائه داده.,شرکت اپل نوآوری‌های زیادی ارائه داده.
80,اپلیکیشن‌های اَپِل گرافیک بالایی دارند.,اپلیکیشن‌های اپل گرافیک بالایی دارند.
81,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
82,گوشی جدید اَپِل دیروز رونمایی شد.,گوشی جدید اپل دیروز رونمایی شد.
83,اَپِل همیشه طراحی خاصی دارد.,اپل همیشه طراحی خاصی دارد.
